TIME(unitless),BITDEP(ft),BLOCKCOMP(ft),DEP_RTN(ft),DEPTH(ft),FLOWIN(USgal/min),FLOWOUTPC(%),ROP_AVG(ft/h),DIFP(psi)
2018-07-25T23:02:39.0000000-06:00,4638.088,67.001,4634.5,4638.088,798.727,41.159,98.474,696.86
2018-07-25T23:02:41.0000000-06:00,4638.119,66.97,4634.5,4638.119,798.727,40.859,98.474,611.642
2018-07-25T23:02:43.0000000-06:00,4638.164,66.925,4634.5,4638.164,799.009,40.743,98.474,549.101
2018-07-25T23:02:45.0000000-06:00,4638.23,66.859,4635,4638.23,799.292,40.48,45.196,497.255
2018-07-25T23:02:47.0000000-06:00,4638.301,66.788,4635,4638.301,800.14,40.457,45.196,426.233
2018-07-25T23:02:49.0000000-06:00,4638.451,66.638,4635,4638.451,800.424,40.583,45.196,359.349
2018-07-25T23:02:51.0000000-06:00,4638.545,66.544,4635,4638.545,800.14,41.093,45.196,303.345
2018-07-25T23:02:53.0000000-06:00,4638.667,66.422,4635.5,4638.667,800.424,40.652,206.02,340.485
2018-07-25T23:02:55.0000000-06:00,4638.823,66.266,4635.5,4638.823,800.707,40.541,206.02,386.765
2018-07-25T23:02:57.0000000-06:00,4638.95,66.14,4635.5,4638.95,800.707,40.772,206.02,475.77
2018-07-25T23:02:59.0000000-06:00,4639.009,66.08,4635.5,4639.009,800.424,40.777,206.02,496.163
2018-07-25T23:03:01.0000000-06:00,4639.196,65.894,4636,4639.196,800.424,41.02,225.17,605.157
2018-07-25T23:03:03.0000000-06:00,4639.328,65.761,4636,4639.328,799.574,41.567,225.17,645.671
2018-07-25T23:03:05.0000000-06:00,4639.419,65.67,4636,4639.419,799.574,41.636,225.17,651.286
2018-07-25T23:03:07.0000000-06:00,4639.496,65.594,4636.5,4639.496,799.574,41.455,225.17,648.636
2018-07-25T23:03:09.0000000-06:00,4639.615,65.474,4636.5,4639.615,799.009,41.855,225.17,675.484
2018-07-25T23:03:11.0000000-06:00,4639.739,65.351,4636.5,4639.739,799.292,41.02,207.853,622.329
2018-07-25T23:03:13.0000000-06:00,4639.81,65.279,4636.5,4639.81,799.574,40.891,207.853,615.158
2018-07-25T23:03:15.0000000-06:00,4639.875,65.215,4636.5,4639.875,799.292,40.61,207.853,580.593
2018-07-25T23:03:17.0000000-06:00,4639.981,65.108,4637,4639.981,799.574,40.887,207.853,531.684
2018-07-25T23:03:19.0000000-06:00,4640.077,65.012,4637,4640.077,799.292,40.351,156.657,506.057
2018-07-25T23:03:21.0000000-06:00,4640.173,64.916,4637,4640.173,799.857,40.958,156.657,508.513
2018-07-25T23:03:23.0000000-06:00,4640.317,64.772,4637,4640.317,799.857,41.071,156.657,478.935
2018-07-25T23:03:25.0000000-06:00,4640.434,64.655,4637.5,4640.434,799.857,41.27,156.657,426.064
2018-07-25T23:03:27.0000000-06:00,4640.489,64.6,4637.5,4640.489,800.141,40.874,156.657,403.739
2018-07-25T23:03:29.0000000-06:00,4640.632,64.457,4637.5,4640.632,800.14,41.088,185.533,430.497
2018-07-25T23:03:31.0000000-06:00,4640.736,64.353,4637.5,4640.736,800.424,40.648,185.533,430.052
2018-07-25T23:03:33.0000000-06:00,4640.836,64.254,4638,4640.836,800.14,40.143,185.533,460.951
2018-07-25T23:03:35.0000000-06:00,4640.975,64.114,4638,4640.975,800.14,40.354,185.533,416.609
2018-07-25T23:03:37.0000000-06:00,4641.07,64.02,4638,4641.07,800.707,40.477,192.766,437.134
2018-07-25T23:03:39.0000000-06:00,4641.143,63.946,4638,4641.143,800.141,40.262,192.766,406.074
2018-07-25T23:03:41.0000000-06:00,4641.315,63.775,4638,4641.315,800.14,40.723,192.766,402.604
2018-07-25T23:03:43.0000000-06:00,4641.416,63.673,4638,4641.416,800.707,41.597,192.766,395.128
2018-07-25T23:03:45.0000000-06:00,4641.516,63.574,4638,4641.516,800.424,41.31,192.766,368.74
2018-07-25T23:03:47.0000000-06:00,4641.648,63.441,4638,4641.648,800.14,41.232,218.47,401.97
2018-07-25T23:03:49.0000000-06:00,4641.78,63.309,4638,4641.78,800.707,41.549,218.47,364.856
2018-07-25T23:03:51.0000000-06:00,4641.839,63.251,4638.5,4641.839,800.424,41.643,218.47,354.447
2018-07-25T23:03:53.0000000-06:00,4641.942,63.148,4638.5,4641.942,800.707,41.393,218.47,375.347
2018-07-25T23:03:55.0000000-06:00,4641.953,63.136,4638.5,4641.953,800.424,41.137,167.327,437.634
2018-07-25T23:03:57.0000000-06:00,4641.953,63.136,4638.5,4641.953,800.141,41.388,167.327,429.712
2018-07-25T23:03:59.0000000-06:00,4641.975,63.114,4638.5,4641.975,800.14,40.998,167.327,460.772
2018-07-25T23:04:01.0000000-06:00,4642.029,63.06,4639,4642.029,799.857,40.729,167.327,450.395
2018-07-25T23:04:03.0000000-06:00,4642.146,62.944,4639,4642.146,800.424,40.108,41.832,422.331
2018-07-25T23:04:05.0000000-06:00,4642.247,62.842,4639,4642.247,799.857,40.191,41.832,453.191
2018-07-25T23:04:07.0000000-06:00,4642.353,62.736,4639,4642.353,800.14,40.071,41.832,492.331
2018-07-25T23:04:09.0000000-06:00,4642.475,62.614,4639.5,4642.475,800.14,40.406,41.832,564.144
2018-07-25T23:04:11.0000000-06:00,4642.581,62.508,4639.5,4642.581,799.857,40.094,223.267,575.859
2018-07-25T23:04:13.0000000-06:00,4642.661,62.428,4639.5,4642.661,799.574,40.122,223.267,625.675
2018-07-25T23:04:15.0000000-06:00,4642.692,62.397,4639.5,4642.692,799.574,40.079,223.267,648.426
2018-07-25T23:04:17.0000000-06:00,4642.73,62.36,4639.5,4642.73,799.009,39.959,223.267,677.4
2018-07-25T23:04:19.0000000-06:00,4642.801,62.289,4640,4642.801,799.292,40.095,223.267,632.798
2018-07-25T23:04:21.0000000-06:00,4642.872,62.217,4640,4642.872,799.292,40.448,92.038,568.43
2018-07-25T23:04:23.0000000-06:00,4642.967,62.123,4640,4642.967,799.574,41.398,92.038,500.024
2018-07-25T23:04:25.0000000-06:00,4643.074,62.015,4640,4643.074,799.292,41.783,92.038,482.849
2018-07-25T23:04:27.0000000-06:00,4643.191,61.899,4640,4643.191,799.574,41.907,92.038,468.771
2018-07-25T23:04:29.0000000-06:00,4643.318,61.771,4640.5,4643.318,799.857,42.062,191.437,521.151
2018-07-25T23:04:31.0000000-06:00,4643.376,61.713,4640.5,4643.376,799.857,41.777,191.437,540.187
2018-07-25T23:04:33.0000000-06:00,4643.527,61.562,4640.5,4643.527,799.857,40.984,191.437,567.724
2018-07-25T23:04:35.0000000-06:00,4643.605,61.484,4640.5,4643.605,799.857,40.903,191.437,572.574
2018-07-25T23:04:37.0000000-06:00,4643.759,61.33,4641,4643.759,799.574,40.612,191.437,610.778
2018-07-25T23:04:39.0000000-06:00,4643.8,61.289,4641,4643.8,799.574,40.35,200.851,638.923
2018-07-25T23:04:41.0000000-06:00,4643.909,61.18,4641,4643.909,799.574,40.74,200.851,617.48
2018-07-25T23:04:43.0000000-06:00,4643.997,61.092,4641,4643.997,799.574,41.355,200.851,585.171
2018-07-25T23:04:45.0000000-06:00,4644.062,61.027,4641,4644.062,799.574,41.136,200.851,583.794
2018-07-25T23:04:47.0000000-06:00,4644.153,60.936,4641.5,4644.153,799.574,40.939,157.932,576.758
2018-07-25T23:04:49.0000000-06:00,4644.238,60.852,4641.5,4644.238,799.574,41.092,157.932,578.378
2018-07-25T23:04:51.0000000-06:00,4644.348,60.741,4641.5,4644.348,799.574,41.058,157.932,560.399
2018-07-25T23:04:53.0000000-06:00,4644.466,60.623,4641.5,4644.466,799.574,40.305,157.932,532.611
2018-07-25T23:04:55.0000000-06:00,4644.538,60.551,4641.5,4644.538,799.574,40.314,157.932,548.039
2018-07-25T23:04:57.0000000-06:00,4644.605,60.484,4641.5,4644.605,799.292,40.425,160.506,540.815
2018-07-25T23:04:59.0000000-06:00,4644.693,60.396,4641.5,4644.693,800.14,40.19,160.506,585.742
2018-07-25T23:05:01.0000000-06:00,4644.79,60.299,4641.5,4644.79,799.574,40.085,160.506,592.643
2018-07-25T23:05:03.0000000-06:00,4644.898,60.192,4642,4644.898,799.574,40.215,160.506,621.281
2018-07-25T23:05:05.0000000-06:00,4645.023,60.066,4642,4645.023,799.574,40.366,177.202,649.106
2018-07-25T23:05:07.0000000-06:00,4645.111,59.978,4642,4645.111,799.292,40.586,177.202,589.008
2018-07-25T23:05:09.0000000-06:00,4645.167,59.923,4642,4645.167,799.574,40.527,177.202,576.607
2018-07-25T23:05:11.0000000-06:00,4645.266,59.823,4642.5,4645.266,799.292,40.248,177.202,573.637
2018-07-25T23:05:13.0000000-06:00,4645.366,59.723,4642.5,4645.366,799.574,40.589,177.202,588.259
2018-07-25T23:05:15.0000000-06:00,4645.465,59.625,4642.5,4645.465,799.292,41.051,159.364,608.919
2018-07-25T23:05:17.0000000-06:00,4645.555,59.534,4642.5,4645.555,799.857,40.967,159.364,615.59
2018-07-25T23:05:19.0000000-06:00,4645.659,59.431,4642.5,4645.659,799.574,40.636,159.364,599.665
2018-07-25T23:05:21.0000000-06:00,4645.73,59.36,4642.5,4645.73,799.292,40.679,159.364,588.649
2018-07-25T23:05:23.0000000-06:00,4645.856,59.233,4642.5,4645.856,800.141,41.034,159.364,608.989
2018-07-25T23:05:25.0000000-06:00,4645.965,59.125,4643,4645.965,799.292,40.31,173.682,627.496
2018-07-25T23:05:27.0000000-06:00,4646.037,59.052,4643,4646.037,799.574,40.659,173.682,604.163
2018-07-25T23:05:29.0000000-06:00,4646.145,58.944,4643,4646.145,799.292,40.143,173.682,563.459
2018-07-25T23:05:31.0000000-06:00,4646.267,58.822,4643,4646.267,799.292,40.276,173.682,596.222
2018-07-25T23:05:33.0000000-06:00,4646.323,58.766,4643,4646.323,799.01,40.49,173.682,570.008
2018-07-25T23:05:35.0000000-06:00,4646.367,58.723,4643.5,4646.367,799.857,40.521,167.571,547.473
2018-07-25T23:05:37.0000000-06:00,4646.5,58.589,4643.5,4646.5,799.857,40.089,167.571,610.273
2018-07-25T23:05:39.0000000-06:00,4646.585,58.504,4643.5,4646.585,799.009,40.549,167.571,615.072
2018-07-25T23:05:41.0000000-06:00,4646.658,58.431,4643.5,4646.658,799.574,41.217,167.571,621.044
2018-07-25T23:05:43.0000000-06:00,4646.761,58.328,4643.5,4646.761,799.292,41.008,167.571,591.564
2018-07-25T23:05:45.0000000-06:00,4646.87,58.219,4644,4646.87,799.574,41.046,153.077,510.198
2018-07-25T23:05:47.0000000-06:00,4646.992,58.098,4644,4646.992,799.574,41.326,153.077,505.013
2018-07-25T23:05:49.0000000-06:00,4647.049,58.04,4644,4647.049,799.857,41.127,153.077,538.322
2018-07-25T23:05:51.0000000-06:00,4647.108,57.982,4644,4647.108,800.14,40.285,153.077,526.861
2018-07-25T23:05:53.0000000-06:00,4647.165,57.925,4644,4647.165,799.857,40.034,153.077,544.043
2018-07-25T23:05:55.0000000-06:00,4647.231,57.858,4644,4647.231,799.857,40.421,137.751,526.886
2018-07-25T23:05:57.0000000-06:00,4647.311,57.779,4644.5,4647.311,800.141,40.559,137.751,514.777
2018-07-25T23:05:59.0000000-06:00,4647.377,57.713,4644.5,4647.377,799.574,40.569,137.751,479.751
2018-07-25T23:06:01.0000000-06:00,4647.5,57.59,4644.5,4647.5,799.857,40.962,137.751,463.754
2018-07-25T23:06:03.0000000-06:00,4647.59,57.499,4644.5,4647.59,800.141,41.605,137.751,457.234
2018-07-25T23:06:05.0000000-06:00,4647.674,57.415,4644.5,4647.674,800.14,41.517,162.492,458.802
2018-07-25T23:06:07.0000000-06:00,4647.708,57.381,4645,4647.708,799.574,41.431,162.492,462.465
2018-07-25T23:06:09.0000000-06:00,4647.739,57.35,4645,4647.739,800.14,41.486,162.492,492.947
2018-07-25T23:06:11.0000000-06:00,4647.768,57.321,4645,4647.768,799.857,41.774,162.492,475.373
2018-07-25T23:06:13.0000000-06:00,4647.816,57.273,4645,4647.816,800.707,41.731,162.492,388.49
2018-07-25T23:06:15.0000000-06:00,4647.869,57.22,4645,4647.869,800.14,41.046,78.159,403.094
2018-07-25T23:06:17.0000000-06:00,4648.004,57.086,4645.5,4648.004,800.707,40.928,78.159,343.086
2018-07-25T23:06:19.0000000-06:00,4648.074,57.015,4645.5,4648.074,800.707,41.118,78.159,361.079
2018-07-25T23:06:21.0000000-06:00,4648.144,56.945,4645.5,4648.144,800.424,41.106,78.159,396.11
2018-07-25T23:06:23.0000000-06:00,4648.186,56.904,4645.5,4648.186,800.424,40.703,78.159,467.593
2018-07-25T23:06:25.0000000-06:00,4648.215,56.875,4645.5,4648.215,800.424,41.487,78.159,528.65
2018-07-25T23:06:27.0000000-06:00,4648.256,56.833,4645.5,4648.256,800.14,41.353,120.397,572.22
2018-07-25T23:06:29.0000000-06:00,4648.335,56.755,4646,4648.335,799.574,41.341,120.397,508.751
2018-07-25T23:06:31.0000000-06:00,4648.438,56.651,4646,4648.438,799.857,41.159,120.397,491.425
2018-07-25T23:06:33.0000000-06:00,4648.499,56.59,4646,4648.499,799.574,40.997,120.397,481.654
2018-07-25T23:06:35.0000000-06:00,4648.602,56.487,4646,4648.602,799.857,40.94,120.397,477.294
2018-07-25T23:06:37.0000000-06:00,4648.663,56.427,4646,4648.663,799.857,41.238,133.545,497.631
2018-07-25T23:06:39.0000000-06:00,4648.743,56.347,4646.5,4648.743,800.141,40.87,133.545,448.843
2018-07-25T23:06:41.0000000-06:00,4648.802,56.287,4646.5,4648.802,800.14,41.157,133.545,413.707
2018-07-25T23:06:43.0000000-06:00,4648.899,56.19,4646.5,4648.899,799.857,40.527,133.545,457.589
2018-07-25T23:06:45.0000000-06:00,4648.955,56.134,4646.5,4648.955,800.424,40.381,133.545,476.746
2018-07-25T23:06:47.0000000-06:00,4649.008,56.081,4646.5,4649.008,800.14,40.313,124.779,494.484
2018-07-25T23:06:49.0000000-06:00,4649.031,56.058,4646.5,4649.031,800.14,40.497,124.779,467.654
2018-07-25T23:06:51.0000000-06:00,4649.08,56.009,4647,4649.08,800.424,39.939,124.779,484.207
2018-07-25T23:06:53.0000000-06:00,4649.209,55.88,4647,4649.209,800.14,40.187,124.779,490.238
2018-07-25T23:06:55.0000000-06:00,4649.265,55.825,4647,4649.265,799.857,40.27,124.779,490.111
2018-07-25T23:06:57.0000000-06:00,4649.32,55.769,4647,4649.32,800.14,40.085,124.779,500.99
2018-07-25T23:06:59.0000000-06:00,4649.415,55.675,4647,4649.415,799.857,39.635,123.991,522.135
2018-07-25T23:07:01.0000000-06:00,4649.47,55.619,4647,4649.47,799.574,39.975,123.991,520.078
2018-07-25T23:07:03.0000000-06:00,4649.545,55.544,4647.5,4649.545,799.857,39.999,123.991,499.852
2018-07-25T23:07:05.0000000-06:00,4649.621,55.468,4647.5,4649.621,799.857,40.134,123.991,458.124
2018-07-25T23:07:07.0000000-06:00,4649.693,55.396,4647.5,4649.693,799.857,40.315,123.991,460.77
2018-07-25T23:07:09.0000000-06:00,4649.804,55.285,4647.5,4649.804,800.141,40.861,125.753,485.857
2018-07-25T23:07:11.0000000-06:00,4649.844,55.245,4647.5,4649.844,800.14,41.136,125.753,511.272
2018-07-25T23:07:13.0000000-06:00,4649.9,55.19,4647.5,4649.9,799.857,41.123,125.753,510.049
2018-07-25T23:07:15.0000000-06:00,4650.011,55.078,4647.5,4650.011,800.14,40.913,125.753,488.734
2018-07-25T23:07:17.0000000-06:00,4650.066,55.023,4647.5,4650.066,799.857,40.846,125.753,449.318
2018-07-25T23:07:19.0000000-06:00,4650.143,54.946,4648,4650.143,800.14,41.2,125.753,482.191
2018-07-25T23:07:21.0000000-06:00,4650.222,54.867,4648,4650.222,799.857,41.068,137.611,505.951
2018-07-25T23:07:23.0000000-06:00,4650.297,54.792,4648,4650.297,800.14,41.682,137.611,476.237
2018-07-25T23:07:25.0000000-06:00,4650.413,54.676,4648,4650.413,800.14,41.36,137.611,476.415
2018-07-25T23:07:27.0000000-06:00,4650.473,54.616,4648,4650.473,799.857,41.434,137.611,482.661
2018-07-25T23:07:29.0000000-06:00,4650.551,54.538,4648,4650.551,800.14,41.697,137.611,469.551
2018-07-25T23:07:31.0000000-06:00,4650.631,54.459,4648,4650.631,799.857,41.333,137.611,512.121
2018-07-25T23:07:33.0000000-06:00,4650.71,54.379,4648,4650.71,800.14,41.234,140.978,567.527
2018-07-25T23:07:35.0000000-06:00,4650.771,54.319,4648.5,4650.771,799.857,41.454,140.978,576.845
2018-07-25T23:07:37.0000000-06:00,4650.886,54.203,4648.5,4650.886,799.574,41.435,140.978,529.946
2018-07-25T23:07:39.0000000-06:00,4650.953,54.136,4648.5,4650.953,799.857,40.655,140.978,533.202
2018-07-25T23:07:41.0000000-06:00,4651.015,54.074,4648.5,4651.015,799.857,40.814,140.978,518.431
2018-07-25T23:07:43.0000000-06:00,4651.08,54.009,4648.5,4651.08,799.574,40.571,140.978,498.433
2018-07-25T23:07:45.0000000-06:00,4651.181,53.909,4648.5,4651.181,799.574,40.705,144.818,498.496
2018-07-25T23:07:47.0000000-06:00,4651.284,53.805,4648.5,4651.284,800.14,41.002,144.818,530.361
2018-07-25T23:07:49.0000000-06:00,4651.365,53.724,4649,4651.365,799.574,41.286,144.818,533.483
2018-07-25T23:07:51.0000000-06:00,4651.444,53.646,4649,4651.444,800.14,41.18,144.818,528.222
2018-07-25T23:07:53.0000000-06:00,4651.501,53.588,4649,4651.501,799.574,41.121,144.818,509.58
2018-07-25T23:07:55.0000000-06:00,4651.578,53.492,4649,4651.578,799.574,40.862,144.818,525.73
2018-07-25T23:07:57.0000000-06:00,4651.655,53.435,4649,4651.655,799.574,40.254,145.686,546.855
2018-07-25T23:07:59.0000000-06:00,4651.74,53.349,4649,4651.74,799.574,40.34,145.686,570.745
2018-07-25T23:08:01.0000000-06:00,4651.823,53.266,4649,4651.823,799.574,40.992,145.686,563.019
2018-07-25T23:08:03.0000000-06:00,4651.906,53.183,4649.5,4651.906,799.574,41.136,145.686,590.02
2018-07-25T23:08:05.0000000-06:00,4651.977,53.112,4649.5,4651.977,799.574,40.893,145.686,599.783
2018-07-25T23:08:07.0000000-06:00,4651.99,53.1,4649.5,4651.99,799.292,40.868,145.686,581.491
2018-07-25T23:08:09.0000000-06:00,4652,53.089,4649.5,4652,799.857,41.095,119.353,506.011
2018-07-25T23:08:11.0000000-06:00,4652.015,53.074,4649.5,4652.015,799.574,41.114,119.353,450.638
2018-07-25T23:08:13.0000000-06:00,4652.049,53.04,4649.5,4652.049,799.574,41.392,119.353,389.87
2018-07-25T23:08:15.0000000-06:00,4652.103,52.986,4649.5,4652.103,800.14,41.368,119.353,360.565
2018-07-25T23:08:17.0000000-06:00,4652.166,52.923,4650,4652.166,800.424,41.818,119.353,367.634
2018-07-25T23:08:19.0000000-06:00,4652.183,52.907,4650,4652.183,800.424,41.551,119.353,362.258
